stepID	filename	nameNew	s8Orig	s8MinDur	s8MinFL	shortFC	s8New	diffS8	n2Orig	n2Min	n2New	flOrig	flNew	diffFL	diffSyllDur
133	mimmi_ch	mimmi_ch_FL_0_132	0.225	0.061	18.704	0.656	0.193	0.032	0.488	0.324	0.457	45.995	42.265	3.731	0.132
134	mimmi_ch	mimmi_ch_FL_0_133	0.225	0.061	18.704	0.663	0.194	0.031	0.488	0.324	0.458	45.995	42.389	3.606	0.133
135	mimmi_ch	mimmi_ch_FL_0_134	0.225	0.061	18.704	0.67	0.195	0.03	0.488	0.324	0.459	45.995	42.514	3.481	0.134
136	mimmi_ch	mimmi_ch_FL_0_135	0.225	0.061	18.704	0.677	0.196	0.029	0.488	0.324	0.46	45.995	42.638	3.357	0.135
137	mimmi_ch	mimmi_ch_FL_0_136	0.225	0.061	18.704	0.685	0.197	0.028	0.488	0.324	0.461	45.995	42.761	3.234	0.136
138	mimmi_ch	mimmi_ch_FL_0_137	0.225	0.061	18.704	0.693	0.198	0.027	0.488	0.324	0.462	45.995	42.884	3.111	0.137
139	mimmi_ch	mimmi_ch_FL_0_138	0.225	0.061	18.704	0.701	0.199	0.026	0.488	0.324	0.463	45.995	43.006	2.989	0.138
140	mimmi_ch	mimmi_ch_FL_0_139	0.225	0.061	18.704	0.709	0.2	0.025	0.488	0.324	0.464	45.995	43.128	2.867	0.139
141	mimmi_ch	mimmi_ch_FL_0_140	0.225	0.061	18.704	0.718	0.201	0.024	0.488	0.324	0.465	45.995	43.249	2.746	0.14
142	mimmi_ch	mimmi_ch_FL_0_141	0.225	0.061	18.704	0.726	0.202	0.023	0.488	0.324	0.466	45.995	43.37	2.626	0.141
143	mimmi_ch	mimmi_ch_FL_0_142	0.225	0.061	18.704	0.735	0.203	0.022	0.488	0.324	0.467	45.995	43.49	2.505	0.142
144	mimmi_ch	mimmi_ch_FL_0_143	0.225	0.061	18.704	0.744	0.204	0.021	0.488	0.324	0.468	45.995	43.609	2.386	0.143
145	mimmi_ch	mimmi_ch_FL_0_144	0.225	0.061	18.704	0.753	0.205	0.02	0.488	0.324	0.469	45.995	43.729	2.267	0.144
146	mimmi_ch	mimmi_ch_FL_0_145	0.225	0.061	18.704	0.763	0.206	0.019	0.488	0.324	0.469	45.995	43.847	2.148	0.145
147	mimmi_ch	mimmi_ch_FL_0_146	0.225	0.061	18.704	0.772	0.207	0.018	0.488	0.324	0.47	45.995	43.965	2.03	0.146
148	mimmi_ch	mimmi_ch_FL_0_147	0.225	0.061	18.704	0.782	0.208	0.017	0.488	0.324	0.471	45.995	44.083	1.912	0.147
149	mimmi_ch	mimmi_ch_FL_0_148	0.225	0.061	18.704	0.793	0.209	0.016	0.488	0.324	0.472	45.995	44.2	1.795	0.148
150	mimmi_ch	mimmi_ch_FL_0_149	0.225	0.061	18.704	0.803	0.21	0.015	0.488	0.324	0.473	45.995	44.317	1.678	0.149
151	mimmi_ch	mimmi_ch_FL_0_150	0.225	0.061	18.704	0.814	0.211	0.014	0.488	0.324	0.474	45.995	44.433	1.562	0.15
152	mimmi_ch	mimmi_ch_FL_0_151	0.225	0.061	18.704	0.825	0.212	0.013	0.488	0.324	0.475	45.995	44.549	1.446	0.151
153	mimmi_ch	mimmi_ch_FL_0_152	0.225	0.061	18.704	0.836	0.213	0.012	0.488	0.324	0.476	45.995	44.664	1.331	0.152
154	mimmi_ch	mimmi_ch_FL_0_153	0.225	0.061	18.704	0.848	0.214	0.011	0.488	0.324	0.477	45.995	44.779	1.216	0.153
155	mimmi_ch	mimmi_ch_FL_0_154	0.225	0.061	18.704	0.86	0.215	0.01	0.488	0.324	0.478	45.995	44.893	1.102	0.154
156	mimmi_ch	mimmi_ch_FL_0_155	0.225	0.061	18.704	0.872	0.216	0.009	0.488	0.324	0.479	45.995	45.007	0.988	0.155
157	mimmi_ch	mimmi_ch_FL_0_156	0.225	0.061	18.704	0.885	0.217	0.008	0.488	0.324	0.48	45.995	45.12	0.875	0.156
158	mimmi_ch	mimmi_ch_FL_0_157	0.225	0.061	18.704	0.898	0.218	0.007	0.488	0.324	0.481	45.995	45.233	0.762	0.157
159	mimmi_ch	mimmi_ch_FL_0_158	0.225	0.061	18.704	0.912	0.219	0.006	0.488	0.324	0.482	45.995	45.345	0.65	0.158
160	mimmi_ch	mimmi_ch_FL_0_159	0.225	0.061	18.704	0.926	0.22	0.005	0.488	0.324	0.483	45.995	45.457	0.538	0.159
161	mimmi_ch	mimmi_ch_FL_0_160	0.225	0.061	18.704	0.94	0.221	0.004	0.488	0.324	0.484	45.995	45.569	0.426	0.16
162	mimmi_ch	mimmi_ch_FL_0_161	0.225	0.061	18.704	0.955	0.222	0.003	0.488	0.324	0.485	45.995	45.68	0.315	0.161
163	mimmi_ch	mimmi_ch_FL_0_162	0.225	0.061	18.704	0.97	0.223	0.002	0.488	0.324	0.486	45.995	45.79	0.205	0.162
164	mimmi_ch	mimmi_ch_FL_0_163	0.225	0.061	18.704	0.986	0.224	0.0009	0.488	0.324	0.487	45.995	45.901	0.095	0.163
165	mimmi_ch	mimmi_ch_FL_0_164	0.225	0.061	18.704	1.002	0.225	-0.0001	0.488	0.324	0.488	45.995	46.01	-0.015	0.164
